Month,Day,Time_Sin,Time_Cos,Wk,Home Position,Home_code_0,Home_code_1,Home_code_2,Home_code_3,Home_code_4,xG_Home,G_Home,G_Away,xG_Away,Away_code_0,Away_code_1,Away_code_2,Away_code_3,Away_code_4,Away Position,Target
10,5,-0.25881904510252035,-0.9659258262890684,10,19,0,0,0,0,0,0.9,1,2,1.0,1,0,0,0,1,2,0
10,5,-0.7518398074789777,0.6593458151000684,10,11,0,1,1,1,0,1.1,0,2,2.7,0,1,0,1,1,1,0
10,5,-0.9914448613738104,0.13052619222005213,10,4,0,0,0,1,1,1.6,1,1,0.7,0,1,0,0,0,6,0
10,5,-0.38268343236508956,0.9238795325112868,10,8,1,0,0,0,0,1.7,2,1,1.2,0,1,1,1,1,5,1
10,6,-0.9914448613738104,0.13052619222005213,10,17,0,1,0,0,1,1.6,2,2,1.0,1,0,0,1,0,12,0
10,6,1.2246467991473532e-16,-1.0,10,14,0,0,1,0,1,2.2,2,1,1.2,0,0,0,1,0,9,1
10,6,-0.8968727415326883,-0.44228869021900136,10,15,1,0,0,1,1,2.2,2,1,1.5,0,0,1,1,1,3,1
10,6,-0.7518398074789777,0.6593458151000684,10,20,0,1,1,0,0,1.9,2,1,1.2,0,1,0,1,0,10,1
10,0,-0.7071067811865477,0.7071067811865474,10,13,0,0,1,0,0,0.9,1,0,0.4,0,0,1,1,0,7,1
10,0,-0.8660254037844386,0.5000000000000001,10,18,0,0,0,0,1,0.6,1,3,1.7,0,1,1,0,1,16,0
11,4,-0.7071067811865477,0.7071067811865474,11,8,0,0,1,1,0,1.3,2,2,0.8,0,0,1,0,1,11,0
11,5,-0.9914448613738104,0.13052619222005213,11,20,0,0,0,0,0,0.7,1,0,0.9,0,0,1,0,0,10,1
11,5,-0.7518398074789777,0.6593458151000684,11,1,0,1,0,1,1,2.1,2,1,0.6,1,0,0,0,0,5,1
11,5,-0.8968727415326883,-0.44228869021900136,11,16,0,1,1,0,1,0.6,0,1,0.5,0,0,0,1,1,4,0
11,5,-0.25881904510252035,-0.9659258262890684,11,2,1,0,0,0,1,2.2,3,0,1.2,0,1,1,1,1,7,1
11,6,-0.8968727415326883,-0.44228869021900136,11,14,0,1,0,1,0,1.0,3,1,0.9,0,1,1,1,0,15,1
11,6,1.2246467991473532e-16,-1.0,11,12,1,0,0,1,0,0.8,1,2,1.5,1,0,0,1,1,13,0
11,6,-0.7518398074789777,0.6593458151000684,11,3,0,0,1,1,1,2.2,3,0,0.2,0,0,0,0,1,18,1
11,6,-0.9914448613738104,0.13052619222005213,11,9,0,0,0,1,0,2.4,3,1,0.3,0,1,0,0,1,17,1
11,6,-0.9914448613738104,0.13052619222005213,11,6,0,1,0,0,0,1.2,2,0,0.5,0,1,1,0,0,19,1
11,4,-0.7071067811865477,0.7071067811865474,12,10,1,0,0,1,1,1.2,1,1,1.4,0,0,0,1,0,7,0
11,5,-0.7518398074789777,0.6593458151000684,12,4,0,0,0,1,1,0.7,0,0,1.4,0,0,1,1,1,3,0
11,5,-0.25881904510252035,-0.9659258262890684,12,12,0,0,1,0,1,3.2,4,1,0.8,0,0,0,0,0,18,1
11,5,-0.8968727415326883,-0.44228869021900136,12,9,0,1,1,1,1,1.5,0,3,2.6,0,1,0,1,1,1,0
11,5,-0.9914448613738104,0.13052619222005213,12,6,1,0,0,0,0,1.3,2,1,1.8,0,1,0,1,0,11,1
11,6,-0.7518398074789777,0.6593458151000684,12,15,0,1,1,1,0,1.0,1,1,1.4,0,1,0,0,0,5,0
11,6,-0.8968727415326883,-0.44228869021900136,12,13,0,0,1,0,0,1.1,0,2,1.0,1,0,0,0,1,2,0
11,6,-0.9914448613738104,-0.13052619222005163,12,19,0,0,0,0,1,0.8,0,2,0.9,1,0,0,1,0,14,0
11,6,1.2246467991473532e-16,-1.0,12,20,0,1,1,0,0,1.8,3,2,1.2,0,1,1,0,1,16,1
11,0,-0.7071067811865477,0.7071067811865474,12,17,0,1,0,0,1,2.2,5,0,0.8,0,0,1,1,0,8,1
11,4,-0.7071067811865477,0.7071067811865474,13,13,0,1,0,1,0,1.8,1,0,0.8,0,1,1,1,1,8,1
11,5,-0.25881904510252035,-0.9659258262890684,13,19,0,0,0,0,0,0.4,1,2,1.0,0,1,0,0,1,17,0
11,5,-0.7518398074789777,0.6593458151000684,13,12,1,0,0,1,0,1.3,0,5,3.4,0,0,0,1,1,4,0
11,5,-0.9914448613738104,0.13052619222005213,13,9,0,0,1,1,0,1.1,2,2,1.6,1,0,0,1,1,11,0
11,5,-0.8968727415326883,-0.44228869021900136,13,3,0,0,1,1,1,2.9,3,2,0.6,0,1,1,0,0,18,1
11,6,1.2246467991473532e-16,-1.0,13,16,0,1,1,0,1,1.8,2,2,1.7,0,1,1,1,0,15,0
11,6,-0.8968727415326883,-0.44228869021900136,13,7,0,0,0,1,0,2.2,2,2,1.9,0,0,0,0,1,20,0
11,6,-0.7518398074789777,0.6593458151000684,13,2,1,0,0,0,1,1.2,1,1,1.0,0,1,0,1,1,1,0
11,6,-0.9914448613738104,0.13052619222005213,13,6,0,1,0,0,0,2.1,2,3,1.6,1,0,0,0,0,5,0
11,0,-0.7071067811865477,0.7071067811865474,13,14,0,0,1,0,0,0.9,1,0,0.8,0,0,1,0,1,10,1
12,4,-0.7071067811865477,0.7071067811865474,14,19,0,1,1,0,0,1.0,0,0,0.5,1,0,0,1,0,14,0
12,5,-0.7518398074789777,0.6593458151000684,14,16,0,1,1,1,0,1.2,0,0,1.6,0,0,1,1,1,4,0
12,5,-0.8968727415326883,-0.44228869021900136,14,3,0,0,0,1,1,3.6,2,1,1.7,0,0,0,1,0,7,1
12,5,-0.25881904510252035,-0.9659258262890684,14,1,0,1,0,1,1,3.7,2,2,2.0,0,1,0,1,0,9,0
12,5,-0.9914448613738104,0.13052619222005213,14,5,1,0,0,0,0,1.2,2,0,0.9,0,1,1,0,1,17,1
12,6,-0.9914448613738104,0.13052619222005213,14,15,0,1,0,0,1,1.5,3,1,0.3,0,0,1,0,0,12,1
12,6,-0.8968727415326883,-0.44228869021900136,14,13,0,0,1,0,1,0.9,1,0,0.9,1,0,0,0,1,2,1
12,6,-0.8968727415326884,0.442288690219001,14,18,0,0,0,0,1,2.4,1,0,0.3,0,0,1,1,0,8,1
12,6,1.2246467991473532e-16,-1.0,14,11,0,1,1,1,1,1.1,3,1,0.8,0,1,0,0,0,6,1
12,0,-0.7071067811865477,0.7071067811865474,14,10,1,0,0,1,1,0.5,2,3,1.8,0,0,0,0,0,20,0
12,4,-0.7071067811865477,0.7071067811865474,15,19,0,0,0,0,0,3.1,2,0,0.3,0,0,0,0,1,18,1
12,5,-0.9914448613738104,0.13052619222005213,15,17,0,1,1,0,1,0.8,1,0,0.2,0,1,1,1,1,7,1
12,5,-0.25881904510252035,-0.9659258262890684,15,8,0,0,1,0,1,0.3,0,0,1.0,0,1,0,0,1,13,0
12,5,-0.8968727415326883,-0.44228869021900136,15,4,0,0,1,1,1,3.2,5,0,0.4,1,0,0,0,0,5,1
12,5,-0.7518398074789777,0.6593458151000684,15,2,1,0,0,0,1,1.6,2,1,1.2,0,1,0,1,0,11,1
12,6,-0.9914448613738104,0.13052619222005213,15,14,1,0,0,1,0,0.7,1,2,2.0,0,1,1,1,0,16,0
12,6,-0.8968727415326883,-0.44228869021900136,15,10,0,0,1,1,0,0.3,0,1,0.6,0,0,0,1,1,3,0
12,6,1.2246467991473532e-16,-1.0,15,9,0,0,0,1,0,1.8,0,2,1.8,0,1,1,0,0,20,0
12,6,-0.7518398074789777,0.6593458151000684,15,6,0,1,0,0,0,0.7,0,2,3.5,0,1,0,1,1,1,0
12,0,-0.7071067811865477,0.7071067811865474,15,15,0,0,1,0,0,0.4,0,1,1.4,1,0,0,1,1,12,0
12,4,-0.7071067811865477,0.7071067811865474,16,5,1,0,0,0,0,2.0,0,0,0.9,1,0,0,1,0,15,0
12,5,-0.8968727415326883,-0.44228869021900136,16,14,0,1,1,1,0,0.7,0,0,0.5,0,0,0,1,0,10,0
12,5,-0.7518398074789777,0.6593458151000684,16,3,0,0,0,1,1,1.1,1,0,0.6,0,0,0,0,0,18,1
12,5,-0.9914448613738104,0.13052619222005213,16,13,0,1,0,0,1,0.7,2,1,0.9,1,0,0,0,1,2,1
12,6,-0.7518398074789777,0.6593458151000684,16,1,0,1,0,1,1,5.6,4,0,0.3,0,1,1,0,1,17,1
12,6,-0.8968727415326883,-0.44228869021900136,16,11,0,1,0,1,0,1.0,0,1,0.6,0,1,0,0,0,6,0
12,6,1.2246467991473532e-16,-1.0,16,9,1,0,0,1,1,0.3,1,0,0.2,0,0,1,0,1,7,1
12,6,-0.9914448613738104,-0.13052619222005163,16,20,0,0,0,0,1,1.8,2,2,1.9,0,0,1,0,0,16,0
12,0,-0.7071067811865477,0.7071067811865474,16,19,0,1,1,0,0,0.8,0,2,1.8,0,0,1,1,0,12,0
